,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
67,55,76,Cs,3424.6,0.4,25/2, , , , , , , , , , , , , , , , , , , , 
68,55,76,Cs,3464.4,0.3,25/2, , , , , , , , , , , , , , , , , , , , 
69,55,76,Cs,3520.9,0.4,25/2, , , , , , , , , , , , , , , , , , , , 
70,55,76,Cs,3591.8,0.6,25/2, , , , , , , , , , , , , , , , , , , , 
71,55,76,Cs,3620,0.4,27/2, , , , , , , , , , , , , , , , , , , , 
72,55,76,Cs,3667,0.4,27/2, , , , , , , , , , , , , , , , , , , , 
73,55,76,Cs,3722.2,0.4,27/2, , , , , , , , , , , , , , , , , , , , 
74,55,76,Cs,3724.5,0.3,27/2, , , , , , , , , , , , , , , , , , , , 
75,55,76,Cs,3856,0.4,29/2, , , , , , , , , , , , , , , , , , , , 
76,55,76,Cs,3867.6,0.4,29/2, , , , , , , , , , , , , , , , , , , , 
77,55,76,Cs,3870.9,0.4,27/2, , , , , , , , , , , , , , , , , , , , 
78,55,76,Cs,3971.4,0.8,27/2, , , , , , , , , , , , , , , , , , , , 
79,55,76,Cs,4010.8,0.4,29/2, , , , , , , , , , , , , , , , , , , , 
80,55,76,Cs,4043.2,0.5,27/2, , , , , , , , , , , , , , , , , , , , 
81,55,76,Cs,4143.8,0.5,29/2, , , , , , , , , , , , , , , , , , , , 
82,55,76,Cs,4290.6,0.7,29/2, , , , , , , , , , , , , , , , , , , , 
83,55,76,Cs,4347.2,0.6,29/2, , , , , , , , , , , , , , , , , , , , 
84,55,76,Cs,4386.3,0.4,31/2, , , , , , , , , , , , , , , , , , , , 
85,55,76,Cs,4623,0.7,31/2, , , , , , , , , , , , , , , , , , , , 
86,55,76,Cs,4641.6,0.5,31/2, , , , , , , , , , , , , , , , , , , , 
87,55,76,Cs,4652.7,0.5,31/2, , , , , , , , , , , , , , , , , , , , 
88,55,76,Cs,4716.7,0.6,31/2, , , , , , , , , , , , , , , , , , , , 
89,55,76,Cs,4733.7,0.4,33/2, , , , , , , , , , , , , , , , , , , , 
90,55,76,Cs,4856.2,0.5,33/2, , , , , , , , , , , , , , , , , , , , 
91,55,76,Cs,4904.2,0.5,33/2, , , , , , , , , , , , , , , , , , , , 
92,55,76,Cs,5078.2,0.6,33/2, , , , , , , , , , , , , , , , , , , , 
93,55,76,Cs,5264.2,0.5,35/2, , , , , , , , , , , , , , , , , , , , 
94,55,76,Cs,5735.1,0.6,37/2, , , , , , , , , , , , , , , , , , , , 
