,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
46,60,90,Nd,46, ,1799.6,0.7, ,5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
47,60,90,Nd,47, ,1830.0,2, ,5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-09
48,60,90,Nd,48, ,1864.3,0.7, ,3,7, , , , , , , , , , , , , , , , , , , , ,2021-06-09
49,60,90,Nd,49, ,1885.0,2, ,4,5, , , , , , , , , , , , , , , , , , , , ,2021-06-09
50,60,90,Nd,50, ,1906.6,1, ,4,6, , , , , , , , , , , , , , , , , , , , ,2021-06-09
51,60,90,Nd,51, ,1911.5,0.4, ,04,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
52,60,90,Nd,52, ,1921.0,2, ,4,7, , , , , , , , , , , , , , , , , , , , ,2021-06-09
53,60,90,Nd,53, ,1967.5,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
54,60,90,Nd,54, ,1975.7,1, ,15,2, , , , , , , , , , , , , , , , , , , , ,2021-06-09
55,60,90,Nd,55, ,1984.5,1, ,15,3, , , , , , , , , , , , , , , , , , , , ,2021-06-09
56,60,90,Nd,56, ,1988.0,2, ,3,8, , , , , , , , , , , , , , , , , , , , ,2021-06-09
57,60,90,Nd,57, ,1994.15,0.18, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
58,60,90,Nd,58, ,2009.2,0.11, ,1 2 3,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
59,60,90,Nd,59, ,2033.0,2, ,4,8, , , , , , , , , , , , , , , , , , , , ,2021-06-09
60,60,90,Nd,60, ,2050.0,25, ,0,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
61,60,90,Nd,61, ,2069.21,0.12, ,2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-09
62,60,90,Nd,62, ,2077.0,2, ,3,9, , , , , , , , , , , , , , , , , , , , ,2021-06-09
63,60,90,Nd,63, ,2090.0,2, ,3,10, , , , , , , , , , , , , , , , , , , , ,2021-06-09
64,60,90,Nd,64, ,2109.0,2, ,3,11, , , , , , , , , , , , , , , , , , , , ,2021-06-09
65,60,90,Nd,65, ,2118.7,1.5, ,12,1,1.8, ,+2-3,ps,0.0000000000018, , , , , , , , , , , , , , , ,2021-06-09
66,60,90,Nd,66, ,2129.0,2, ,4,9, , , , , , , , , , , , , , , , , , , , ,2021-06-09
67,60,90,Nd,67, ,2174.0,2, ,4,10, , , , , , , , , , , , , , , , , , , , ,2021-06-09
68,60,90,Nd,68, ,2194.0,2, ,2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-09
