,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
40,12,12,Mg,40, ,10679.7,0.4, ,0,5,2.1, ,8,eV,2.17256054795898e-16,5.702971438392321e-16, , , , , , , , , ,0, , , , ,2021-06-10
41,12,12,Mg,41, ,10711.74,0.17, ,1,4,24, ,3,as,2.4e-17,3e-18, , , , , , , , , ,1, , , , ,2021-06-10
42,12,12,Mg,42, ,10730.79,0.11, ,2,8,7, ,3,fs,0.000000000000007,0.000000000000003, , , , , , , , , ,0, , , , ,2021-06-10
43,12,12,Mg,43, ,10820.7,0.4, ,3 4,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,12,12,Mg,44, ,10916.96,0.17, ,2,9,7.5, ,11,eV,6.08316953428514e-17,4.147615591558052e-16, , , , , , , , , ,0, , , , ,2021-06-10
45,12,12,Mg,45, ,11010.5,1.4, ,3,1, , , , , , , , , , , , , , , ,1, , , , ,2021-06-10
46,12,12,Mg,46, ,11015.8,0.7, ,2,10,3,GT, ,eV,1.520792383571286e-16, , , , , , , , , , ,0, , , , ,2021-06-10
47,12,12,Mg,47, ,11128.0,3, ,0, ,26, ,4,fs,0.000000000000026,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
48,12,12,Mg,48, ,11162.0,0.8, ,3,3,3,LT, ,keV,1.520792383571286e-19, , , , , , , , , , ,0, , , , ,2021-06-10
49,12,12,Mg,49, ,11181.0,3, ,3,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,12,12,Mg,50, ,11186.82,0.24, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,12,12,Mg,51, ,11208.4,1.6, ,0, ,0.0022, ,12,eV,0.0000000000002073807795779026,0.0000000000003801980958928214, , , , , , , , , ,0&1, , , , ,2021-06-10
52,12,12,Mg,52, ,11216.79,0.19, ,4,5,0.78, ,11,eV,5.849201475274176e-16,0.000000000000004147615591558052, , , , , , , , , ,0, , , , ,2021-06-10
53,12,12,Mg,53, ,11293.2,0.8, ,2 3 4,1,20, ,3,fs,0.00000000000002,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
54,12,12,Mg,54, ,11314.4,1.5, ,3,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
55,12,12,Mg,55, ,11330.2,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,12,12,Mg,56, ,11389.8,1.1, ,1,4,0.5, , ,keV,9.124754301427715e-19, , , , , , , , , , ,0, , , , ,2021-06-10
57,12,12,Mg,57, ,11394.0,4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,12,12,Mg,58, ,11452.51,0.13, ,2,11,2,LT, ,keV,2.281188575356929e-19, , , , , , , , , , ,0, , , , ,2021-06-10
59,12,12,Mg,59, ,11457.0,3, ,2,12,1,AP, ,keV,4.562377150713857e-19, , , , , , , , , , ,0, , , , ,2021-06-10
60,12,12,Mg,60, ,11518.2,0.6, ,2,13,0.5, , ,keV,9.124754301427715e-19, , , , , , , , , , ,0, , , , ,2021-06-10
61,12,12,Mg,61, ,11528.0,4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,12,12,Mg,62, ,11596.0,0.8, ,3,4,15, ,4,fs,0.000000000000015,0.000000000000004, , , , , , , , , ,0, , , , ,2021-06-10
63,12,12,Mg,63, ,11618.0,3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,12,12,Mg,64, ,11695.6,0.6, ,4,6,1.6, ,6,eV,2.851485719196161e-16,7.603961917856428e-16, , , , , , , , , ,0, , , , ,2021-06-10
65,12,12,Mg,65, ,11728.1,1, ,0,6,10, ,2,keV,4.56237715071386e-20,2.281188575356929e-19, , , , , , , , , ,0, , , , ,2021-06-10
66,12,12,Mg,66, ,11827.0,4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
67,12,12,Mg,67, ,11862.0,5, ,0, ,62, ,24,fs,0.000000000000062,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
