,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
42,25,30,Mn,42, ,3054.67,0.16, ,15/2,1,0.18, ,4,ps,0.00000000000018,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
43,25,30,Mn,43, ,3060.0, , , 7/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,25,30,Mn,44, ,3070.0,0.5, ,0, ,24, ,8,fs,0.000000000000024,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
45,25,30,Mn,45, ,3080.3,0.17, ,3/2,1,30, ,6,fs,0.00000000000003,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
46,25,30,Mn,46, ,3126.13,0.2, ,13/2,1,17, ,3,fs,0.000000000000017,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
47,25,30,Mn,47, ,3136.0,10, ,5/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,25,30,Mn,48, ,3147.0,2, , 7/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,25,30,Mn,49, ,3158.42,0.12, ,3/2,5,46, ,+9-5,fs,0.000000000000046, , , , , , , , , , , , , , , ,2021-06-10
50,25,30,Mn,50, ,3195.3,0.4, ,3/2,2,17, ,5,fs,0.000000000000017,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
51,25,30,Mn,51, ,3260.8,0.5, ,5/2,1,35, ,14,fs,0.000000000000035,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
52,25,30,Mn,52, ,3263.2,0.3, ,3/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,25,30,Mn,53, ,3268.1,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,25,30,Mn,54, ,3341.95,0.22, ,13/2,1,5, , ,fs,0.000000000000005, , , , , , , , , , , , , , , ,2021-06-10
55,25,30,Mn,55, ,3351.0,0.4, ,3/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,25,30,Mn,56, ,3373.2,0.3, ,11/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
57,25,30,Mn,57, ,3379.0,8, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
