Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
26,32,Fe,45, ,4440,20, ,3- 4-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,46, ,4444.3,0.5, ,1+,8,6, ,+28-6,fs,0.000000000000006, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,47, ,4450,20, ,(0+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,48, ,4468,10, ,3-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,49, ,4493.1,0.3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,50, ,4514,10, ,(3+ 2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,51, ,4530.15,0.23, ,1 2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,52, ,4550.37,0.24, ,1+,9,21, ,7,fs,0.000000000000021,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,53, ,4590,0.4, ,(2+ 3 4+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,54, ,4610,20, ,3- 4-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,55, ,4620,10, ,2+,14, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,56, ,4661,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,57, ,4669.38,0.14, ,(7+),1,0.38, ,+12-6,ps,0.00000000000038, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,58, ,4711,10, ,(2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,59, ,4720,20, ,1-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,60, ,4809,10, ,(5-),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,61, ,4833.89,0.25, ,1+ 2+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,62, ,4890,20, ,2+,15, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,63, ,4937,10, ,2+,16, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,64, ,4990, , ,(2+ 3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,65, ,5000.23,0.18, ,1+,10,3.0, ,10,fs,0.000000000000003,0.000000000000001, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,66, ,5020,20, ,5-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,67, ,5060,20, ,2+,17, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,68, ,5138,10, ,0+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,69, ,5164,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,70, ,5213,10, ,2+,18, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,71, ,5220.9,0.5, ,1 2,2,0.38,LT, ,ps,0.00000000000038, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,72, ,5236,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,73, ,5254,10, ,3-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,74, ,5294.8,0.6, ,(1+ 2 3+),1,3.5, ,28,fs,0.0000000000000035,0.0000000000000028, , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,75, ,5315,10, ,3- 4-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
