Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
72,108,Hf,0, ,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,
72,108,Hf,93.324,0.002,2+, ,1.519,10,ns,0.000000001519,0.00000000001, , , , , , , , , , ,0.61, ,-2, ,
72,108,Hf,308.576,0.003,4+, ,71,10,ps,0.000000000071,0.00000000001, , , , , , , , , , ,1.44, , , ,
72,108,Hf,640.849,0.011,6+, ,10.0,7,ps,0.00000000001,0.0000000000007, , , , , , , , , , ,2, , , ,
72,108,Hf,1084.006,0.015,8+, ,2.18,11,ps,0.00000000000218,0.00000000000011, , , , , , , , , , , , , , ,
72,108,Hf,1101.9,0.5,0+, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1141.552,0.015,8-, ,5.53,2,h,19908,72,IT,99.69,0.08,B-,0.31,0.08, , , , ,8.7, ,4.6, ,
72,108,Hf,1164.11,0.05, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1183.36,0.13,2+, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1192.6,0.06,(6+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1199.72,0.05,2+, ,0.51,5,ps,0.00000000000051,0.00000000000005, , , , , , , , , , , , , , ,
72,108,Hf,1260.7,0.05,(2+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1291.15,0.05,3+, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1300.37,0.06,(2+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1315.7,0.5,0+, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1354.1,0.3,(1- 2- 3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1369.65,0.08,(4+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1374.36,0.04,(4-), ,0.57,2,us,0.00000057,0.00000002, , , , , , , , , , , , , , ,
72,108,Hf,1381.58,0.05,(3+ 2+ 4+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1384.6,0.4,9-, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1409.26,0.07,(4+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1409.36,0.19,(2+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1420.6,1, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1429.82,0.05,(3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1444,6,(5-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1472.4,0.06,(6+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1482.67,0.04,(5-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1484.48,0.06, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1508,2, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1525,4, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1539.29,0.05,(3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1557.33,0.22,(5+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1559.29,0.04,(4+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1597.53,0.11,(4+ 5+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1607.67,0.05,(4)+, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1609.38,0.04,(3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1613.09,0.04,(6-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1631,0.3,10+, ,0.79,4,ps,0.00000000000079,0.00000000000004, , , , , , , , , , , , , , ,
72,108,Hf,1633.43,0.17,(2+ 3 4+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1637.33,0.14,(2+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1650,4,(3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1652.7,0.4,(10-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1657.98,0.1,(6+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1686.9,0.8, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1700.84,0.04,(6+),LT,5, ,ns,0.000000005, , , , , , , , , , , , , , , ,
72,108,Hf,1709.1,0.5,(5-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1724.47,0.25,(6+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1724.88,0.09,(2+ 3+ 4+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1738.8,1, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1742.67,0.15,(5)+, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1743.38,0.07,(2+), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1756, , , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1765.1,0.3,(7-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1787.7,1,(6-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1813.91,0.08,(3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1818.6,0.04,(5-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1820.97,0.17,(3-), , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1828.4,1, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1839,6,3-, , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1862.4,1, , , , , , , , , , , , , , , , , , , , , ,
72,108,Hf,1889,3, , , , , , , , , , , , , , , , , , , , , ,
