Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
78,116,Pt,2163.729,0.018,0+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2166,2,(5-), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2184.94,0.04,1+ 2+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2190,1,(6- 7-), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2214.473,0.023,(1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2215.501,0.009,1+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2223,2, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2239.56,0.04,(2)-, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2246, ,3-, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2246,2,(4+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2275,2,(2+ 3+ 4+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2287.35,0.03,1+ 2+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2296,2, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2298.112,0.025,1+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2309.6,0.3,(9 10 11-), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2311.88,0.03,2+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2327,4,(6- 7-), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2356.049,0.025,0+, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2365.88,0.09,(1+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2397.24,0.09,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2404,2, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2412.72,0.11,(1+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2423.6,0.5,(6+ 7 8+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2427,10, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2438.41,0.19,(10+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2450,5,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2451.1,1.3,(12+), ,6.4,8,ns,0.0000000064,0.0000000008, , , , , , , , , , ,-0.17, , , ,
78,116,Pt,2472,5,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2500,10, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2517.2,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2537,3,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2543,3,3-, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2570,3, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2577.3,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2595,3, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2615,10,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2638,3,(4+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2663.4,1.1, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2676,3,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2688,5,(2+ 3+ 4+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2689.22,0.12,(8+), ,0.62,11,ps,0.00000000000062,0.00000000000011, , , , , , , , , , , , , , ,
78,116,Pt,2700,2, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2700.1,0.3,(11-), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2720.2,0.5,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2756,4, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2783,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2816,3,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2840,3, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2842.1,1.3,(14+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2848.5,1,(10+), ,1.06,27,ps,0.00000000000106,0.00000000000027, , , , , , , , , , , , , , ,
78,116,Pt,2871,3, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2895,3,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2908,10, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2916.5,1,(10+), ,0.55,16,ps,0.00000000000055,0.00000000000016, , , , , , , , , , , , , , ,
78,116,Pt,2956,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2982,9, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,2990.1,1.1,(13-), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3000,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3000.1,0.3,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3014.8,0.3,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3033,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3057.8,1.1, , , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3065,10,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3078,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3078.8,0.3,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3100,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3132,10,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3141.1,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3170,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3198,10,(2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3225,10,(0+ 1+ 2+), , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3351.3,0.3,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3375.2,0.3,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3383,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3417.1,0.3,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3421.4,0.5,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3427.7,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3459.3,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3465.2,0.7,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3477,0.4,1, , , , , , , , , , , , , , , , , , , , ,
78,116,Pt,3497.9,0.6,1, , , , , , , , , , , , , , , , , , , , ,
