Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
36,48,Kr,0, ,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,
36,48,Kr,881.615,0.003,2+, ,4.05,13,ps,0.00000000000405,0.00000000000013, , , , , , , , , , ,0.534, , , ,
36,48,Kr,1837.3,2,0+, ,25,10,ps,0.000000000025,0.00000000001, , , , , , , , , , , , , , ,
36,48,Kr,1897.783,0.01,2+, ,0.24,5,ps,0.00000000000024,0.00000000000005, , , , , , , , , , , , , , ,
36,48,Kr,2095,0.07,4+, ,0.66,13,ps,0.00000000000066,0.00000000000013, , , , , , , , , , , , , , ,
36,48,Kr,2345.46,0.07,4+, ,24,3,ps,0.000000000024,0.000000000003, , , , , , , , , , , , , , ,
36,48,Kr,2489.2,0.4,(2+ 3-), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,2622.98,0.17,2+, ,0.28,14,ps,0.00000000000028,0.00000000000014, , , , , , , , , , , , , , ,
36,48,Kr,2700.28,0.08,3-, ,1.7,+14-11,ps,0.0000000000017, , , , , , , , , , , , , , , ,
36,48,Kr,2759.28,0.13,2+, , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,2770.94,0.09,5-, ,7.6,21,ps,0.0000000000076,0.0000000000021, , , , , , , , , , , , , , ,
36,48,Kr,2775,20,2+, , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,2861.09,0.08,(2+ 3 4+), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3042.11,0.07,(2+ 3 4+), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3082.38,0.08,3, , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3172.55,0.16,6+, ,2.6,7,ps,0.0000000000026,0.0000000000007, , , , , , , , , , , , , , ,
36,48,Kr,3183.29,0.25,(2+ 3 4+), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3219.35,0.11,5-, ,17,4,ps,0.000000000017,0.000000000004, , , , , , , , , , , , , , ,
36,48,Kr,3225,20,(1-), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3236.07,0.18,8+, ,1.83,4,us,0.00000183,0.00000004,IT,100, , , , , , , , ,-1.968, ,0.36, ,
36,48,Kr,3288.68,0.12,5+, ,0.31,10,ps,0.00000000000031,0.0000000000001, , , , , , , , , , , , , , ,
36,48,Kr,3312.39,0.13,(3)-, , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3335,20, , , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3365.88,0.2,(1 2+), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3408.15,0.11,(3- 4 5-), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3426.74,0.12,(2+ 3 4+), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3463,0.5, , , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3475.75,0.21,(1-), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3570,20,(3-), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3587.12,0.11,6-, ,5.5,14,ps,0.0000000000055,0.0000000000014, , , , , , , , , , , , , , ,
36,48,Kr,3638.5,0.1,(5-), ,0.69,+28-21,ps,0.00000000000069, , , , , , , , , , , , , , , ,
36,48,Kr,3651.61,0.18,7-, , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3705.87,0.19,1(-) 2 3(-), , , , , , , , , , , , , , , , , , , , ,
36,48,Kr,3718.22,0.22,(3-), , , , , , , , , , , , , , , , , , , , ,
