Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
24,30,Cr,50, ,5113.6,0.5, ,2+,13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,51, ,5156,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,52, ,5189.62,0.12, ,2+,14, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,53, ,5191,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,54, ,5215,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,55, ,5226.56,0.11, ,2+,15, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,56, ,5268.46,0.1, ,2+,16, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,57, ,5275,7, ,2+,17, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,58, ,5291.3,0.6, ,2+,18, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,59, ,5294.23,0.09, ,1+ 2+,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,60, ,5321,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,61, ,5345.7,1.2, ,2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,62, ,5363.9,0.3, ,7+,1,0.24, ,6,ps,0.00000000000024,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,63, ,5387,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,64, ,5458,6, ,2+,19, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,65, ,5498,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,66, ,5557,7, ,4+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,67, ,5586.94,0.07, ,1+ 2+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,68, ,5670,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,69, ,5698,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,70, ,5740,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,71, ,5771,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,72, ,5797.9,0.5, ,(7),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,73, ,5821.5,0.13, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,74, ,5856.4,0.4, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,75, ,5893,10, ,(+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,76, ,5935,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,77, ,5981,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,78, ,6113,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
