Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
28,36,Ni,53, ,4962,0.8, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,54, ,4991,5, ,2+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,55, ,5010,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,56, ,5027,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,57, ,5065,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,58, ,5093,3, ,4+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,59, ,5107,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,60, ,5123,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,61, ,5155.51,0.06, ,(0+ 1 2 3-),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,62, ,5169,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,63, ,5188,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,64, ,5215,3, ,4+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,65, ,5229,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,66, ,5264,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,67, ,5287,7, ,(2+ 3 4+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,68, ,5332,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,69, ,5354,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,70, ,5370,3, ,3-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,71, ,5386,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,72, ,5408,6, ,2+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,73, ,5418.21,0.06, ,(1)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,74, ,5441,10, ,(5-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,75, ,5484,3, ,(3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,76, ,5507,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,77, ,5536,7, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,78, ,5567,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,79, ,5614,10, ,(2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,80, ,5663,7, ,(1+ TO 5+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,81, ,5734,3, ,4+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,82, ,5768.66,0.07, ,(1 2 3)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,83, ,5812.1,0.7, ,(8+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,84, ,5817,6, ,3-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,85, ,5843,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,86, ,5870,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,87, ,5902,10, ,(1- 2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,88, ,5976,10, ,(1+ TO 5+),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,89, ,6018,3, ,3-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,90, ,6030,50, ,(6+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,91, ,6060,10, ,(1 2)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,92, ,6116,3, ,3-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,93, ,6182,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,94, ,6220,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,95, ,6452,8, ,(1+ 2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,96, ,6512,10, ,(1- 2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,97, ,6622,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,98, ,6656,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,99, ,6687,10, ,(1 2)-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,100, ,6754,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,101, ,6822,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,102, ,6838,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,103, ,6861,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,104, ,7020,10, ,(1 2),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,105, ,7130,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,106, ,7220,10, ,(1 2),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,107, ,7300,100, ,(LE 4-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,108, ,7730,10, ,(1 2),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,109, ,7950,100, ,(LE 4-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,36,Ni,110, ,8240,10, ,(1 2),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10

