Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
14,17,Si,51, ,7212.2,0.6, ,(3/2+ 5/2+),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,52, ,7269.9,0.7, ,(3/2+ 5/2+),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,53, ,7309.1,0.7, ,3/2-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,54, ,7359.1,0.7, ,(1/2-),1,0.86, ,13,keV,5.305089710132392e-19,3.509520885164505e-18, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,55, ,7369.3,0.8, ,(1/2-),2,0.52, ,10,keV,8.773802212911263e-19,4.562377150713857e-18, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,56, ,7372.6,0.8, ,(1/2-),3,0.60, ,12,keV,7.603961917856428e-19,3.8019809589282146e-18, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,57, ,7405.2,0.8, ,3/2-,4,20.8, ,8,keV,2.19345055322782e-20,5.702971438392321e-19, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,58, ,7432,10, ,3/2+ 5/2+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,59, ,7438.3,0.4, ,(5/2),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,60, ,7536,1, ,1/2-,3,6, ,1,keV,7.60396191785643e-20,4.562377150713857e-19, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,61, ,7564,10, ,(3/2+ 5/2 7/2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,62, ,7648,10, ,(3/2+ 5/2 7/2-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,63, ,7718,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,17,Si,64, ,7732.3,1.1, ,1/2+,6,7.5, ,5,keV,6.08316953428514e-20,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,65, ,7766.7,1.2, ,3/2+ 5/2+,7,5.0, ,5,keV,9.12475430142771e-20,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,66, ,7822.1,1.2, ,1/2-,4,7.9, ,13,keV,5.77516095027071e-20,3.509520885164505e-19, , , , , , , , , , , , , , ,2021-06-10
14,17,Si,67, ,7848.5,1.3, ,(3/2+ 5/2+),6,4.2, ,10,keV,1.08628027397949e-19,4.562377150713857e-19, , , , , , , , , , , , , , ,2021-06-10
