Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
22,26,Ti,46, ,4719.149,0.019, ,2+ 4+,1,66, ,14,fs,0.000000000000066,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,47, ,4757.74,0.1, ,LE 4,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,48, ,4783.31,0.1, ,2 3 4,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,49, ,4792.28,0.05, ,0+ 1 2 3(-),1,28, ,14,fs,0.000000000000028,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,50, ,4794.12,0.14, ,2 3 4,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,51, ,4795,2, ,3(-) 4,1,69, ,35,fs,0.000000000000069,0.000000000000035, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,52, ,4861,1, ,2+ 3+ 4+,1,21, ,10,fs,0.000000000000021,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,53, ,4885,1, ,(2+ 3+ 4+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,54, ,4910.59,0.05, ,LE 4,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,55, ,4914.7,1.4, ,5-,1,0.19, ,11,ps,0.00000000000019,0.00000000000011, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,56, ,4924.91,0.12, ,2+ 3+ 4+,2,21, ,10,fs,0.000000000000021,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,57, ,4940.05,0.14, ,2+ 3+ 4+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,58, ,4956,1, ,5 6,1,1.0,GT, ,ps,0.000000000001, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,59, ,4966,5, ,2+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,60, ,4972,2, ,0+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,61, ,4992.5,1, ,5-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,62, ,5063,12, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,63, ,5145.81,0.04, ,4+,4,49, ,28,fs,0.000000000000049,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,64, ,5155,2, ,5,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,65, ,5157.71,0.14, ,4+,5,25,LT, ,fs,0.000000000000025, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,66, ,5169,1, ,7+,1,28, ,12,fs,0.000000000000028,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,67, ,5197,1, ,8+,2,76, ,24,fs,0.000000000000076,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,68, ,5241, , ,1+,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,69, ,5252,1, ,3 4,1,49, ,+19-24,fs,0.000000000000049, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,70, ,5274,2, ,2 3 4 5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,71, ,5300,1, ,4+ 5 6,1,35,LT, ,fs,0.000000000000035, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,72, ,5312,1, ,5(-) 6(-) 7(-),1,69, ,28,fs,0.000000000000069,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,73, ,5313,1.9, ,2+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,74, ,5340,3, ,1(-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,75, ,5356.23,0.11, ,(2 3 4),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,76, ,5385,5, ,(3)-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,77, ,5391,9, ,4+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,78, ,5461, , ,2+ 3+ 4+ 5+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,79, ,5490.79,0.14, ,2+,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,80, ,5500,2, ,4+,7,26, ,12,fs,0.000000000000026,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,81, ,5519,3, ,3-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,82, ,5526,3, ,1,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,83, ,5545,2, ,4 TO 8,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,84, ,5546,2, ,3-,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,85, ,5569,2, ,(3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,86, ,5571, , ,2+,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,87, ,5616,1, ,3- 4-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,88, ,5619.6,0.08, ,2+,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,89, ,5630,1, ,7,1,24, ,14,fs,0.000000000000024,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,90, ,5640,0.03, ,1+,6,0.53, ,+43-34,fs,5.3e-16, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,91, ,5642,2, ,3-,7,24, ,10,fs,0.000000000000024,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,92, ,5657, , ,1+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,93, ,5760,5, ,(3-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,94, ,5762,3, ,4 5 6,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,95, ,5764, , ,2+,13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,96, ,5805,1, ,3- 4-,3,21, ,12,fs,0.000000000000021,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,97, ,5827.1,0.5, ,3-,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,98, ,5846,2, ,3-,9,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,99, ,5885,5, ,2+,14, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,100, ,5886,2, ,4 TO 8,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,101, ,5888.54,0.05, ,1 2 3 4,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,102, ,5892,3, ,1 2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,103, ,5916.2,2.6, ,2+,15, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,104, ,5974,2, ,5 6 7,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,105, ,5988, , ,1+ 3+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,106, ,5990,1, ,4 5 6,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,107, ,5996,3, ,(2)+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,108, ,6022,9, ,(3-),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,109, ,6034,1, ,9+ 7+,1,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
