,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
41,41,24,27,Cr,41, ,3447.5,0.9, ,6.5,2,70,LT, ,fs,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-10
42,42,24,27,Cr,42, ,3578.4,1.1, ,7.5,1,70,LT, ,fs,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-10
43,43,24,27,Cr,43, ,3590.0,15, ,7.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,24,27,Cr,44, ,3719.0,8, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,24,27,Cr,45, ,3722.1,0.8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,24,27,Cr,46, ,3759.0,10, ,7.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,24,27,Cr,47, ,3766.8,0.3, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,24,27,Cr,48, ,3770.5,0.3, ,1.5,2,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
49,49,24,27,Cr,49, ,3816.7,1.2, ,9.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,24,27,Cr,50, ,3831.37,0.22, ,5.5,1,30, ,+8-6,fs,0.00000000000003, , , , , , , , , , , , , , , ,2021-06-10
51,51,24,27,Cr,51, ,3863.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,24,27,Cr,52, ,3870.7,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,24,27,Cr,53, ,3897.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
