,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
38,38,20,21,Ca,38, ,4550.1,1, ,0.5, ,93, ,21,fs,0.000000000000093,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
39,39,20,21,Ca,39, ,4569.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,20,21,Ca,40, ,4603.3,2, ,1.5,4,37,LT, ,fs,0.000000000000037, , , , , , , , , , , , , , , ,2021-06-10
41,41,20,21,Ca,41, ,4648.0,15, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,20,21,Ca,42, ,4728.1,0.7, ,1.5,1,30,LT, ,fs,0.00000000000003, , , , , , , , , , , , , , , ,2021-06-10
43,43,20,21,Ca,43, ,4731.2,0.6, ,2.5,1,21, ,10,fs,0.000000000000021,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
44,44,20,21,Ca,44, ,4752.8,0.3, ,0.5,3,30, ,10,fs,0.00000000000003,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
45,45,20,21,Ca,45, ,4778.6,2.1, ,1.5,2,15,LT, ,fs,0.000000000000015, , , , , , , , , , , , , , , ,2021-06-10
46,46,20,21,Ca,46, ,4797.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,20,21,Ca,47, ,4814.9,0.8, ,2.5,4,37,LT, ,fs,0.000000000000037, , , , , , , , , , , , , , , ,2021-06-10
48,48,20,21,Ca,48, ,4830.7,0.9, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,20,21,Ca,49, ,4882.9,1.1, ,2.5,2,87,LT, ,fs,0.000000000000087, , , , , , , , , , , , , , , ,2021-06-10
50,50,20,21,Ca,50, ,4928.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,20,21,Ca,51, ,4966.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,20,21,Ca,52, ,4972.6,0.8, ,4.5,3,49, ,45,fs,0.000000000000049,0.000000000000045, , , , , , , , , , , , , , ,2021-06-10
53,53,20,21,Ca,53, ,4995.1,1.8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,20,21,Ca,54, ,5010.3,2, ,0.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
55,55,20,21,Ca,55, ,5046.9,1, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,20,21,Ca,56, ,5057.1,1.4, ,4.5,1,0.14, ,7,ps,0.00000000000014,0.00000000000007, , , , , , , , , , , , , , ,2021-06-10
57,57,20,21,Ca,57, ,5072.3,0.9, ,0.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,58,20,21,Ca,58, ,5078.4,2.5, ,0.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,20,21,Ca,59, ,5095.3,1, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
60,60,20,21,Ca,60, ,5120.1,0.9, ,1.5,5,0.8, ,7,ps,0.0000000000008,0.0000000000007, , , , , , , , , , , , , , ,2021-06-10
61,61,20,21,Ca,61, ,5148.1,1.6, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,20,21,Ca,62, ,5154.4,1.6, ,0.5, ,125,LT, ,fs,0.000000000000125, , , , , , , , , , , , , , , ,2021-06-10
63,63,20,21,Ca,63, ,5194.9,0.8, ,4.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,64,20,21,Ca,64, ,5219.0,0.3, ,8.5,1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
65,65,20,21,Ca,65, ,5283.2,1.1, ,2.5,5,37,LT, ,fs,0.000000000000037, , , , , , , , , , , , , , , ,2021-06-10
66,66,20,21,Ca,66, ,5290.3,1.3, ,0.5, ,104,LT, ,fs,0.000000000000104, , , , , , , , , , , , , , , ,2021-06-10
67,67,20,21,Ca,67, ,5305.0,4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
68,68,20,21,Ca,68, ,5339.7,1.6, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
69,69,20,21,Ca,69, ,5349.7,1.3, ,3.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
70,70,20,21,Ca,70, ,5369.0,1.5, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
71,71,20,21,Ca,71, ,5411.4,0.8, ,2.5,6,30,LT, ,fs,0.00000000000003, , , , , , , , , , , , , , , ,2021-06-10
72,72,20,21,Ca,72, ,5451.7,1.1, ,0.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
73,73,20,21,Ca,73, ,5468.4,0.9, ,1.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
74,74,20,21,Ca,74, ,5482.2,1.3, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
75,75,20,21,Ca,75, ,5506.5,1.6, ,0.5, ,62, ,21,fs,0.000000000000062,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
76,76,20,21,Ca,76, ,5519.9,1.3, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
77,77,20,21,Ca,77, ,5539.0,3, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
78,78,20,21,Ca,78, ,5588.0,2, ,4.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
79,79,20,21,Ca,79, ,5616.0,4, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
80,80,20,21,Ca,80, ,5635.0,5, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
81,81,20,21,Ca,81, ,5648.8,1.3, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
