,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
39,39,20,23,Ca,39, ,3285.7,0.6, ,1.5,5,60,LT, ,fs,0.00000000000006, , , , , , , , , , , , , , , ,2021-06-10
40,40,20,23,Ca,40, ,3315.2,0.7, ,1.5,1,0.13, ,6,ps,0.00000000000013,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
41,41,20,23,Ca,41, ,3371.19,0.19, ,6.5,1,14,LT, ,ps,0.000000000014, , , , , , , , , , , , , , , ,2021-06-10
42,42,20,23,Ca,42, ,3376.6,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,20,23,Ca,43, ,3415.0,8, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,20,23,Ca,44, ,3469.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,20,23,Ca,45, ,3505.3,0.3, ,6.5,2,73, ,24,fs,0.000000000000073,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
46,46,20,23,Ca,46, ,3572.2,0.5, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,20,23,Ca,47, ,3604.0,10, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,20,23,Ca,48, ,3649.0,8, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,20,23,Ca,49, ,3662.5,0.4, ,6.5,1,49, ,21,fs,0.000000000000049,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
50,50,20,23,Ca,50, ,3705.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,20,23,Ca,51, ,3737.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,20,23,Ca,52, ,3772.0,10, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,20,23,Ca,53, ,3783.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,20,23,Ca,54, ,3816.1,0.8, ,3.5,1,69, ,38,fs,0.000000000000069,0.000000000000038, , , , , , , , , , , , , , ,2021-06-10
55,55,20,23,Ca,55, ,3837.0,10, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,20,23,Ca,56, ,3864.0,10, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
57,57,20,23,Ca,57, ,3898.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,58,20,23,Ca,58, ,3918.0,8, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,20,23,Ca,59, ,3943.81,0.24, ,7.5,1,0.76, ,21,ps,0.00000000000076,0.00000000000021, , , , , , , , , , , , , , ,2021-06-10
60,60,20,23,Ca,60, ,3958.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
61,61,20,23,Ca,61, ,3978.0,10, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,20,23,Ca,62, ,4017.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
63,63,20,23,Ca,63, ,4044.0,8, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,64,20,23,Ca,64, ,4078.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
65,65,20,23,Ca,65, ,4089.0,10, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
66,66,20,23,Ca,66, ,4135.9,0.7, ,4.5,2,260,LT, ,fs,0.00000000000026, , , , , , , , , , , , , , , ,2021-06-10
67,67,20,23,Ca,67, ,4148.0,10, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
68,68,20,23,Ca,68, ,4174.8,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
69,69,20,23,Ca,69, ,4186.5,0.4, ,7.5,2,125, ,50,fs,0.000000000000125,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
70,70,20,23,Ca,70, ,4207.2,0.5, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
71,71,20,23,Ca,71, ,4210.0,20, ,2.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
72,72,20,23,Ca,72, ,4239.0,10, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
73,73,20,23,Ca,73, ,4268.0,10, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
74,74,20,23,Ca,74, ,4291.0,10, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
75,75,20,23,Ca,75, ,4298.0,10, ,0.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
76,76,20,23,Ca,76, ,4364.0,10, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
77,77,20,23,Ca,77, ,4394.8,0.5, ,7.5,2,42, ,17,fs,0.000000000000042,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
78,78,20,23,Ca,78, ,4401.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
79,79,20,23,Ca,79, ,4461.0,7, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
80,80,20,23,Ca,80, ,4498.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
81,81,20,23,Ca,81, ,4533.0,10, ,0.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
82,82,20,23,Ca,82, ,4569.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
83,83,20,23,Ca,83, ,4585.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
84,84,20,23,Ca,84, ,4591.0,0.4, ,8.5,1,0.21, ,5,ps,0.00000000000021,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
85,85,20,23,Ca,85, ,4603.4,1, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
86,86,20,23,Ca,86, ,4621.2,0.4, ,7.5,3,76, ,28,fs,0.000000000000076,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
87,87,20,23,Ca,87, ,4641.6,1, ,2.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
88,88,20,23,Ca,88, ,4654.0,10, ,0.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
89,89,20,23,Ca,89, ,4703.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
90,90,20,23,Ca,90, ,4736.0,10, ,2.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
91,91,20,23,Ca,91, ,4758.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
92,92,20,23,Ca,92, ,4783.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
93,93,20,23,Ca,93, ,4796.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
94,94,20,23,Ca,94, ,4826.0,8, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
95,95,20,23,Ca,95, ,4854.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
96,96,20,23,Ca,96, ,4878.0,8, ,8.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
97,97,20,23,Ca,97, ,4901.2,0.6, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
98,98,20,23,Ca,98, ,4922.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
99,99,20,23,Ca,99, ,4944.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
100,100,20,23,Ca,100, ,4982.0,10, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
101,101,20,23,Ca,101, ,5004.0,8, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
102,102,20,23,Ca,102, ,5037.5,1.1, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
103,103,20,23,Ca,103, ,5047.0,10, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
104,104,20,23,Ca,104, ,5072.0,10, ,1.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
105,105,20,23,Ca,105, ,5100.0,10, ,0.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
106,106,20,23,Ca,106, ,5155.4,0.6, ,8.5,1,76, ,28,fs,0.000000000000076,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
107,107,20,23,Ca,107, ,5170.0,10, ,2.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
108,108,20,23,Ca,108, ,5189.0,10, ,6.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
109,109,20,23,Ca,109, ,5193.0,10, ,0.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
110,110,20,23,Ca,110, ,5215.0,10, ,0.5,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
111,111,20,23,Ca,111, ,5249.0,8, ,6.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
112,112,20,23,Ca,112, ,5351.0,10, ,6.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
113,113,20,23,Ca,113, ,5394.7,1.1, ,9.5,1,0.104, ,31,ps,0.000000000000104,0.000000000000031, , , , , , , , , , , , , , ,2021-06-10
114,114,20,23,Ca,114, ,5430.0,20, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
115,115,20,23,Ca,115, ,5548.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
116,116,20,23,Ca,116, ,5555.4,0.6, ,9.5,1,1.4, ,4,ps,0.0000000000014,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
117,117,20,23,Ca,117, ,5647.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
118,118,20,23,Ca,118, ,5696.0,10, ,6.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
119,119,20,23,Ca,119, ,5728.0,8, ,2.5,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
120,120,20,23,Ca,120, ,5805.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
121,121,20,23,Ca,121, ,5889.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
122,122,20,23,Ca,122, ,5931.5,0.8, ,9.5,1,55, ,17,fs,0.000000000000055,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
123,123,20,23,Ca,123, ,5991.0,8, ,3.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
124,124,20,23,Ca,124, ,6015.0,20, ,0.5,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
125,125,20,23,Ca,125, ,6087.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
126,126,20,23,Ca,126, ,6177.0,10, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
127,127,20,23,Ca,127, ,6223.6,0.8, ,10.5,1,0.58, ,15,ps,0.00000000000058,0.00000000000015, , , , , , , , , , , , , , ,2021-06-10
128,128,20,23,Ca,128, ,6300.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
129,129,20,23,Ca,129, ,6410.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
130,130,20,23,Ca,130, ,6460.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
131,131,20,23,Ca,131, ,6570.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
132,132,20,23,Ca,132, ,6640.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
133,133,20,23,Ca,133, ,6680.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
134,134,20,23,Ca,134, ,6790.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
135,135,20,23,Ca,135, ,6950.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
136,136,20,23,Ca,136, ,7040.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
137,137,20,23,Ca,137, ,7090.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
138,138,20,23,Ca,138, ,7190.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
139,139,20,23,Ca,139, ,7500.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
140,140,20,23,Ca,140, ,7590.0,20, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
141,141,20,23,Ca,141, ,7730.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
142,142,20,23,Ca,142, ,7920.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
